id,name,latitude,longitude,v_grade,a_grade,commitment,quality,pitches,longest_pitch,hours,rock_type,wetsuits,alt_names,sources,description
133,Lyrebird,-33.24083731,150.357646,,,,,,,,Sandstone,,,,
134,Macquarie Pass,-34.572,150.6462,4.0,3.0,,3.3,10.0,45.0,,,5.0,"{""alternative_names"": [""Macquarie Rivulet""]}",,
135,Manning Gorge (Upper),-31.8201,151.5853,4.0,3.0,3.0,5.0,4.0,62.0,6.0,,,,,
136,Marathon,-33.09485369,150.3191785,,,,,,,,Sandstone,,,,
137,Marihuana,-33.5497,150.3737,2.0,2.0,2.0,3.0,2.0,10.0,,Sandstone,,,,
138,Midwinter,-32.9391,150.2822,1.0,1.0,,4.3,0.0,0.0,,Sandstone,,,,
139,Minotaur Lair,-33.20109665,150.2301483,,,,,,25.0,,Sandstone,,,,
140,Moko Creek,-33.01440656,150.2274431,,,,,,,,Sandstone,,,,
141,Never-ending,-32.9792577,150.3526329,,,,,,,,Sandstone,,,,
142,Nightmare,-33.16417909,150.2731176,3.0,2.0,,,7.0,32.0,,Sandstone,1.0,,,
143,Nosedive,-33.36134597,150.3432629,,,,,,23.0,,Sandstone,4.0,,,
144,Nude,-32.95008564,150.3802388,,,,,,,,Sandstone,,,,
145,Old Man,-33.46876173,150.3916243,,,,,0.0,0.0,,Sandstone,,,,
146,Pathway,-33.01723882,150.3579189,,,,,,,,Sandstone,,,,
147,Pegleg,-33.08484161,150.3569689,,,,,,,,Sandstone,,,,
148,Penrose Gully,-33.22395392,150.2444454,3.0,1.0,,2.5,3.0,25.0,8.0,Sandstone,1.0,"{""alternative_names"": [""Crooked Crevice""]}",,
149,Pinnacle Creek,-32.75468268,150.3496984,,,,,,,,Sandstone,,,,
150,Pipeline,-33.16576941,150.2634204,,,,4.0,10.0,25.0,7.0,Sandstone,4.0,,,
151,Pleasant View,-33.29794167,150.2066908,,,,,,,,Sandstone,,,,
152,Polblue Falls,-31.9255,151.3876,4.0,4.0,1.0,3.0,5.0,40.0,7.0,Basalt,,,,
153,Popeye,-33.37707901,150.3202173,,,,,,10.0,,Sandstone,,,,
154,Puzzle,-33.44178861,150.3526414,,,,,,,,Sandstone,,,,
155,Quick Dip,-33.27769078,150.3103796,,,,,,50.0,,Sandstone,,,,
156,Ranon,-33.5504,150.3923,3.0,2.0,4.0,4.0,5.0,20.0,,Sandstone,5.0,,,
157,Ranon Brook,-33.55532822,150.3922542,,,,,,,,Sandstone,5.0,,,
158,Resurrection,-32.98474265,150.3139554,,,,,,,,Sandstone,,,,
159,Reverse,-33.24723572,150.3617454,,,,,,,,Sandstone,,,,
160,River Caves,-33.31631726,150.3038238,1.0,1.0,,3.0,0.0,0.0,2.0,Sandstone,1.0,,,
161,Rock Hill,-33.40281542,150.3430755,,,,,,,,Sandstone,,,,
162,Rocky Creek,-33.2878,150.2932,1.0,2.0,2.0,4.2,0.0,0.0,4.5,Sandstone,5.0,,,
163,Rosewood,-30.3613,152.7988,4.0,3.0,,3.7,8.0,40.0,,,,,,
164,Sandy Cave Creek,-33.34378335,150.365281,,,,,,25.0,,Sandstone,5.0,,,
165,Sassafrass,-30.3686,152.7874,4.0,3.0,3.0,4.0,6.0,65.0,8.5,,,,,
166,Scatters,-33.40133607,150.3162477,,,,,0.0,0.0,,Sandstone,,,,
167,Scrub Bash,-33.45467768,150.3651566,,,,,,,,Sandstone,,,,
168,Serendipity,-33.49468728,150.3811618,2.0,2.0,3.0,3.4,6.0,20.0,4.0,Sandstone,,"{""alternative_names"": [""Why Don't We Do It In The Road""]}","{""OzUltimate"": ""https://ozultimate.com/canyoning/track_notes/why_dont_we_do_it_in_the_road.htm"", ""ropewiki"": ""https://ropewiki.com/Serendipity"", ""Descente-Canyon"": ""https://www.descente-canyon.com/canyoning/canyon-description/21393"", ""Canyons Near Sydney Guidebook"": null}",
169,Short Creek,-33.43526339,150.4281145,,,,,3.0,27.0,,Sandstone,,,,
170,Slippery Log,-32.9165407,150.2871562,,,,,,,,Sandstone,,,,
171,Snake Pit,-32.99047162,150.2870348,,,,,,,,Sandstone,,"{""alternative_names"": [""PJs""]}",,
172,Spiderman,-33.03044011,150.3853549,,,,,,,,Sandstone,,,,
173,Spiral,-33.23976741,150.26648,,,,,4.0,25.0,,Sandstone,,,,
174,Spring Creek,-34.8514,150.0368,4.0,2.0,3.0,3.0,9.0,50.0,,,,,,
175,Squiggle,-32.96249173,150.327464,,,,,,,,Sandstone,,"{""alternative_names"": [""Mr Squiggles""]}",,
176,Starlight,-33.15158869,150.2844,2.0,1.0,,4.5,3.0,25.0,9.0,Sandstone,1.0,"{""alternative_names"": [""Newnes"", ""Wallaby Tunnel""]}",,
177,Steam-shovel,-32.96621029,150.3326999,,,,,,,,Sandstone,,,,
178,Stick,-33.41696931,150.2888891,,,,,,,,Sandstone,,,,
179,Styx River,-30.5947,152.1643,5.0,4.0,4.0,4.6,6.0,50.0,6.0,,5.0,,,
180,Sunken Treasure,-36.0106,148.3443,3.0,3.0,2.0,2.5,5.0,22.0,7.5,Granite,,,,
181,Sunnyside,-33.28781298,150.1576345,,,,,0.0,0.0,,Sandstone,2.0,"{""alternative_names"": [""Wombat""]}",,
182,Surefire,-33.22861775,150.2925736,,,,4.5,5.0,15.0,12.0,Sandstone,4.0,,,
183,Tea-Time,-33.25964752,150.3098599,,,,,,,,Sandstone,,,,
184,Thunder,-33.5693,150.4001,3.0,2.0,,3.7,2.0,25.0,,Sandstone,5.0,,,
185,Thunderstorm,-33.26251285,150.3172844,,,,1.0,3.0,40.0,11.0,Sandstone,,,,
186,Thurat Rift,-33.9481,150.123,4.0,2.0,4.0,3.5,15.0,62.0,,Quartzite,,,"{""ropewiki"": ""https://ropewiki.com/Thurat_Rift""}",
187,Tiger Snake,-33.2214,150.2527,2.0,1.0,2.0,3.8,5.0,25.0,7.0,Sandstone,2.0,"{""alternative_names"": [""Bottleneck""]}",,
188,Trapped,-33.06023998,150.344856,,,,,,,,Sandstone,,,,
189,Tunnel,-33.40728755,150.3837892,,,,,,,,Sandstone,,,,
190,Tuross Falls,-36.2241,149.5206,4.0,3.0,3.0,2.0,1.0,55.0,8.0,,,,,
191,Twilight,-33.18636401,150.2981641,,,,,,,,Sandstone,,,,
192,Twister,-33.2876,150.2864,2.0,2.0,2.0,3.4,0.0,0.0,2.0,Sandstone,5.0,"{""alternative_names"": [""Sheep Dip""]}",,
193,Unnamed,-32.96498855,150.3177625,,,,,,,,Sandstone,,,,
194,Unnamed-2,-32.91160876,150.3514428,,,,,,,,Sandstone,,,,
195,Untamed,-32.9710572,150.3913858,,,,,,,,Sandstone,,,,
196,Up Ya Bum,-33.43704433,150.3839713,,,,,,,,Sandstone,,,,
197,Up Ya Crack,-33.44600923,150.3815511,,,,,,,,Sandstone,,,,
198,Upper Deanes Creek,-33.27751363,150.2610098,,,,,,,,Sandstone,,,,
199,Upper Wollangambe,-33.47350772,150.3183265,,,,4.0,0.0,0.0,16.0,Sandstone,5.0,,,
200,Urumbilum,-30.3205,152.9353,4.0,4.0,,4.0,9.0,52.0,,,,,,
201,Wagtail,-33.00726874,150.3132724,,,,,,,,Sandstone,,,,
202,Water Dragon,-33.4837,150.3676,2.0,2.0,3.0,3.0,3.0,15.0,5.0,Sandstone,5.0,"{""alternative_names"": [""Kelvinator""]}",,
203,Waterecho,-33.2883995,150.1833786,,,,,,,,Sandstone,,,,
204,Waterfall Creek,-33.7861,150.3896,4.0,1.0,3.0,2.0,4.0,45.0,6.0,Sandstone,,,,
205,Waterfall of Moss,-33.47585665,150.3860323,,,,1.5,8.0,20.0,9.0,Sandstone,,,,
206,Watta,-34.615,150.6224,4.0,3.0,3.0,2.6,4.0,55.0,6.0,,,,,
